Mutational_Class	Parent	Fraction
C_A	Father	0.10187110187110188
C_A	Mother	0.06711409395973154
C_G	Father	0.08316008316008316
C_G	Mother	0.10067114093959731
C_T	Father	0.18711018711018712
C_T	Mother	0.20134228187919462
CpG_TpG	Father	0.20997920997921
CpG_TpG	Mother	0.174496644295302
Indels	Father	0.07484407484407485
Indels	Mother	0.0738255033557047
T_A	Father	0.05405405405405406
T_A	Mother	0.087248322147651
T_C	Father	0.21205821205821207
T_C	Mother	0.26174496644295303
T_G	Father	0.07692307692307693
T_G	Mother	0.03355704697986577
