ID	Mutational_Class	Parent	Fraction
1-00801	C_A	Father	0.01348314606741573
1-00801	C_A	Mother	0.007246376811594203
1-01019	C_A	Father	0.015730337078651686
1-03897	C_A	Father	0.008988764044943821
1-03897	C_A	Mother	0.014492753623188406
1-04190	C_A	Father	0.0022471910112359553
1-04389	C_A	Father	0.0044943820224719105
1-04460	C_A	Father	0.008988764044943821
1-04460	C_A	Mother	0.014492753623188406
1-04537	C_A	Father	0.011235955056179775
1-04537	C_A	Mother	0.014492753623188406
1-05443	C_A	Father	0.011235955056179775
1-05673	C_A	Father	0.020224719101123594
1-05673	C_A	Mother	0.007246376811594203
1-05846	C_A	Father	0.01348314606741573
1-05846	C_A	Mother	0.014492753623188406
1-00801	C_G	Father	0.008988764044943821
1-00801	C_G	Mother	0.007246376811594203
1-01019	C_G	Father	0.015730337078651686
1-03897	C_G	Father	0.011235955056179775
1-03897	C_G	Mother	0.021739130434782608
1-04190	C_G	Father	0.006741573033707865
1-04389	C_G	Father	0.0044943820224719105
1-04389	C_G	Mother	0.014492753623188406
1-04460	C_G	Father	0.01348314606741573
1-04460	C_G	Mother	0.036231884057971016
1-04537	C_G	Father	0.008988764044943821
1-04537	C_G	Mother	0.014492753623188406
1-05443	C_G	Mother	0.007246376811594203
1-05673	C_G	Father	0.008988764044943821
1-05673	C_G	Mother	0.007246376811594203
1-05846	C_G	Father	0.011235955056179775
1-00801	C_T	Father	0.04044943820224719
1-00801	C_T	Mother	0.021739130434782608
1-01019	C_T	Father	0.011235955056179775
1-01019	C_T	Mother	0.036231884057971016
1-03897	C_T	Father	0.02696629213483146
1-04190	C_T	Father	0.01348314606741573
1-04190	C_T	Mother	0.021739130434782608
1-04389	C_T	Father	0.020224719101123594
1-04389	C_T	Mother	0.021739130434782608
1-04460	C_T	Father	0.02247191011235955
1-04460	C_T	Mother	0.014492753623188406
1-04537	C_T	Father	0.011235955056179775
1-04537	C_T	Mother	0.021739130434782608
1-05443	C_T	Father	0.011235955056179775
1-05443	C_T	Mother	0.036231884057971016
1-05673	C_T	Father	0.02696629213483146
1-05673	C_T	Mother	0.036231884057971016
1-05846	C_T	Father	0.017977528089887642
1-05846	C_T	Mother	0.007246376811594203
1-00801	CpG_TpG	Father	0.02247191011235955
1-00801	CpG_TpG	Mother	0.021739130434782608
1-01019	CpG_TpG	Father	0.011235955056179775
1-01019	CpG_TpG	Mother	0.007246376811594203
1-03897	CpG_TpG	Father	0.015730337078651686
1-03897	CpG_TpG	Mother	0.028985507246376812
1-04190	CpG_TpG	Father	0.02696629213483146
1-04190	CpG_TpG	Mother	0.014492753623188406
1-04389	CpG_TpG	Father	0.03146067415730337
1-04389	CpG_TpG	Mother	0.028985507246376812
1-04460	CpG_TpG	Father	0.04044943820224719
1-04460	CpG_TpG	Mother	0.021739130434782608
1-04537	CpG_TpG	Father	0.024719101123595506
1-04537	CpG_TpG	Mother	0.007246376811594203
1-05443	CpG_TpG	Father	0.01348314606741573
1-05443	CpG_TpG	Mother	0.021739130434782608
1-05673	CpG_TpG	Father	0.011235955056179775
1-05673	CpG_TpG	Mother	0.014492753623188406
1-05846	CpG_TpG	Father	0.029213483146067417
1-05846	CpG_TpG	Mother	0.021739130434782608
1-00801	T_A	Father	0.0022471910112359553
1-00801	T_A	Mother	0.007246376811594203
1-01019	T_A	Father	0.008988764044943821
1-01019	T_A	Mother	0.028985507246376812
1-03897	T_A	Father	0.006741573033707865
1-04190	T_A	Father	0.0044943820224719105
1-04389	T_A	Father	0.008988764044943821
1-04389	T_A	Mother	0.007246376811594203
1-04460	T_A	Father	0.011235955056179775
1-04460	T_A	Mother	0.007246376811594203
1-04537	T_A	Father	0.0022471910112359553
1-04537	T_A	Mother	0.014492753623188406
1-05443	T_A	Father	0.006741573033707865
1-05443	T_A	Mother	0.007246376811594203
1-05673	T_A	Father	0.006741573033707865
1-05673	T_A	Mother	0.014492753623188406
1-05846	T_A	Mother	0.007246376811594203
1-00801	T_C	Father	0.024719101123595506
1-00801	T_C	Mother	0.028985507246376812
1-01019	T_C	Father	0.01348314606741573
1-01019	T_C	Mother	0.021739130434782608
1-03897	T_C	Father	0.029213483146067417
1-03897	T_C	Mother	0.050724637681159424
1-04190	T_C	Father	0.029213483146067417
1-04190	T_C	Mother	0.007246376811594203
1-04389	T_C	Father	0.017977528089887642
1-04389	T_C	Mother	0.028985507246376812
1-04460	T_C	Father	0.04269662921348315
1-04460	T_C	Mother	0.036231884057971016
1-04537	T_C	Father	0.01348314606741573
1-04537	T_C	Mother	0.036231884057971016
1-05443	T_C	Father	0.008988764044943821
1-05443	T_C	Mother	0.036231884057971016
1-05673	T_C	Father	0.035955056179775284
1-05673	T_C	Mother	0.028985507246376812
1-05846	T_C	Father	0.01348314606741573
1-05846	T_C	Mother	0.007246376811594203
1-00801	T_G	Father	0.006741573033707865
1-01019	T_G	Father	0.011235955056179775
1-01019	T_G	Mother	0.007246376811594203
1-03897	T_G	Father	0.0022471910112359553
1-03897	T_G	Mother	0.007246376811594203
1-04190	T_G	Father	0.006741573033707865
1-04389	T_G	Father	0.0022471910112359553
1-04389	T_G	Mother	0.007246376811594203
1-04460	T_G	Father	0.01348314606741573
1-04537	T_G	Father	0.006741573033707865
1-05443	T_G	Father	0.011235955056179775
1-05443	T_G	Mother	0.014492753623188406
1-05673	T_G	Father	0.01348314606741573
1-05846	T_G	Father	0.008988764044943821
